Farmer_ID,Name,Region,Age,Gender,Coop_Member,Phone
F001,Farmer_1,North,63,Male,,08075682867
F002,Farmer_2,East,53,Male,Yes,08066882282
F003,Farmer_3,South,32,Male,,08031081788
F004,Farmer_4,Central,45,Male,,08045788921
F005,Farmer_5,West,43,Male,Yes,08036735830
F006,Farmer_6,North,35,Male,Yes,
F007,Farmer_7,Central,64,Male,,08098358551
F008,Farmer_8,South,27,Female,Yes,08098409749
F009,Farmer_9,West,26,Female,Yes,08023953367
F010,Farmer_10,South,54,Female,No,08013344769
F011,Farmer_11,East,45,Male,Yes,08086893497
F012,Farmer_12,East,46,Male,Yes,
F013,Farmer_13,West,49,Male,No,08052860080
F014,Farmer_14,East,51,Female,Yes,08087751354
F015,Farmer_15,West,52,Male,No,08031498555
F016,Farmer_16,North,40,Female,,08070221198
F017,Farmer_17,Central,27,Female,,08079537252
F018,Farmer_18,South,31,Male,Yes,08071306900
F019,Farmer_19,South,33,Female,Yes,08020959014
F020,Farmer_20,South,42,Male,No,08058900483
F021,Farmer_21,East,49,Female,,08013385357
F022,Farmer_22,East,33,Male,No,08078574553
F023,Farmer_23,East,26,Male,,08021392366
F024,Farmer_24,East,31,Male,,08079778859
F025,Farmer_25,South,32,Male,Yes,08023479854
F026,Farmer_26,West,59,Female,No,08023187277
F027,Farmer_27,Central,41,Male,,08047709731
F028,Farmer_28,East,64,Male,Yes,08033027075
F029,Farmer_29,North,26,Female,No,08091200125
F030,Farmer_30,East,30,Male,Yes,08097796277
F031,Farmer_31,Central,28,Female,Yes,08010271836
F032,Farmer_32,West,42,Female,,08062631083
F033,Farmer_33,West,58,Male,No,08096544585
F034,Farmer_34,South,60,Male,,08027824013
F035,Farmer_35,Central,55,Female,,08077105583
F036,Farmer_36,Central,39,Female,,08044119117
F037,Farmer_37,West,47,Female,Yes,08099482491
F038,Farmer_38,South,64,Female,Yes,08013366612
F039,Farmer_39,North,40,Male,Yes,08046258670
F040,Farmer_40,South,48,Female,,08065848857
F041,Farmer_41,North,49,Female,No,08067055419
F042,Farmer_42,Central,53,Female,,08099966606
F043,Farmer_43,East,25,Male,,08077157848
F044,Farmer_44,North,31,Female,,08083665032
F045,Farmer_45,East,48,Male,No,08095390464
F046,Farmer_46,West,32,Male,No,08033717335
F047,Farmer_47,North,35,Female,,08058715250
F048,Farmer_48,South,41,Male,,08054054178
F049,Farmer_49,East,59,Male,Yes,08062441466
F050,Farmer_50,East,29,Male,,08096117865
F051,Farmer_51,Central,63,Male,,08047407771
F052,Farmer_52,East,31,Female,Yes,08037009224
F053,Farmer_53,North,32,Female,No,08061327755
F054,Farmer_54,South,58,Male,Yes,08017130144
F055,Farmer_55,Central,47,Male,Yes,08064079037
F056,Farmer_56,West,48,Male,,08051542436
F057,Farmer_57,South,59,Male,,08063933927
F058,Farmer_58,West,46,Male,No,
F059,Farmer_59,Central,59,Female,Yes,08024881728
F060,Farmer_60,Central,59,Male,,08022722094
F061,Farmer_61,East,38,Female,,08032178434
F062,Farmer_62,East,25,Female,,08022796932
F063,Farmer_63,West,50,Male,Yes,08084023414
F064,Farmer_64,South,38,Male,No,08049443226
F065,Farmer_65,North,33,Male,,08083619289
F066,Farmer_66,South,37,Male,Yes,08071071026
F067,Farmer_67,North,56,Male,Yes,08059007334
F068,Farmer_68,North,56,Female,Yes,08044428803
F069,Farmer_69,Central,54,Male,No,08071553124
F070,Farmer_70,West,47,Male,,08055816038
F071,Farmer_71,South,39,Female,Yes,08033841962
F072,Farmer_72,West,53,Female,Yes,08053156515
F073,Farmer_73,North,37,Male,,08072190751
F074,Farmer_74,West,31,Female,No,08046513466
F075,Farmer_75,West,46,Female,,08033484187
F076,Farmer_76,North,26,Male,Yes,08071777469
F077,Farmer_77,West,30,Female,Yes,08091752859
F078,Farmer_78,South,52,Male,Yes,08054066131
F079,Farmer_79,Central,54,Female,Yes,08045563453
F080,Farmer_80,West,35,Male,No,08060873983
F081,Farmer_81,West,52,Male,Yes,08063892568
F082,Farmer_82,West,63,Male,Yes,08012484413
F083,Farmer_83,Central,57,Male,Yes,08049449976
F084,Farmer_84,South,51,Male,No,08099583549
F085,Farmer_85,West,37,Female,Yes,08082931048
F086,Farmer_86,West,27,Male,Yes,08039859174
F087,Farmer_87,West,30,Male,No,08056159303
F088,Farmer_88,East,51,Female,No,08057936136
F089,Farmer_89,West,61,Female,Yes,08031200096
F090,Farmer_90,South,48,Female,Yes,08033234510
F091,Farmer_91,North,56,Male,,08090705119
F092,Farmer_92,East,48,Male,Yes,08076653416
F093,Farmer_93,Central,36,Female,,08017654909
F094,Farmer_94,Noth,63,Male,Yes,08094302960
F095,Farmer_95,Central,61,Male,Yes,08025421040
F096,Farmer_96,North,41,Male,,08082073914
F097,Farmer_97,South,26,Female,Yes,08021506305
F098,Farmer_98,Central,52,Male,,08096881845
F099,Farmer_99,Central,47,Male,,08015674719
F100,Farmer_100,North,57,Female,,08050163712
F101,Farmer_101,Central,43,Female,No,08095447809
F102,Farmer_102,South,50,Female,Yes,08082586911
F103,Farmer_103,East,30,Female,Yes,
F104,Farmer_104,East,35,Female,No,08091121402
F105,Farmer_105,North,41,Male,No,08050657662
F106,Farmer_106,Central,62,Male,Yes,08016659908
F107,Farmer_107,Central,58,Male,,08046634821
F108,Farmer_108,East,46,Male,No,08029433354
F109,Farmer_109,North,40,Male,No,08045562619
F110,Farmer_110,East,30,Male,No,08045703247
F111,Farmer_111,Central,53,Female,,08072744322
F112,Farmer_112,Central,44,Male,,08067805563
F113,Farmer_113,Central,60,Female,,08081244178
F114,Farmer_114,North,50,Male,No,
F115,Farmer_115,North,43,Male,,08031114003
F116,Farmer_116,Noth,56,Male,No,08020421958
F117,Farmer_117,East,57,Male,,08060402943
F118,Farmer_118,East,63,Male,,08063777024
F119,Farmer_119,East,35,Female,No,08080721464
F120,Farmer_120,North,49,Male,,08089214742
F121,Farmer_121,West,55,Female,Yes,08020047453
F122,Farmer_122,North,59,Female,Yes,08052090758
F123,Farmer_123,East,40,Male,,08030281689
F124,Farmer_124,West,26,Female,,08042797855
F125,Farmer_125,North,33,Male,Yes,08033448674
F126,Farmer_126,South,43,Male,No,
F127,Farmer_127,Central,40,Male,No,08064006163
F128,Farmer_128,South,48,Male,No,
F129,Farmer_129,East,48,Male,No,08040831219
F130,Farmer_130,South,35,Male,,08033101383
F131,Farmer_131,North,60,Female,,08064710375
F132,Farmer_132,West,44,Male,Yes,08088110973
F133,Farmer_133,South,59,Male,No,08043163773
F134,Farmer_134,North,49,Male,,08041146082
F135,Farmer_135,East,49,Female,,08031739356
F136,Farmer_136,South,42,Female,Yes,08029576703
F137,Farmer_137,North,42,Female,Yes,08082429249
F138,Farmer_138,West,59,Male,Yes,08033705256
F139,Farmer_139,Noth,60,Female,No,08087633091
F140,Farmer_140,South,57,Male,Yes,08065403796
F141,Farmer_141,South,44,Female,No,08033508102
F142,Farmer_142,East,27,Male,No,08015853584
F143,Farmer_143,East,57,Female,,08058491183
F144,Farmer_144,Central,36,Female,Yes,08047856186
F145,Farmer_145,North,46,Female,Yes,08075293686
F146,Farmer_146,Central,46,Female,Yes,08028298917
F147,Farmer_147,North,62,Female,No,
F148,Farmer_148,East,32,Female,,08036365210
F149,Farmer_149,Central,51,Male,No,08068245345
F150,Farmer_150,Central,45,Male,No,08021326237
F151,Farmer_151,North,57,Female,Yes,08071864219
F152,Farmer_152,Central,57,Male,No,08043255876
F153,Farmer_153,West,43,Male,,08050820227
F154,Farmer_154,East,59,Female,,08089688895
F155,Farmer_155,North,41,Female,,08022707035
F156,Farmer_156,East,54,Female,No,08080560220
F157,Farmer_157,West,30,Female,,08076385640
F158,Farmer_158,South,61,Male,No,08088384476
F159,Farmer_159,West,55,Male,,08059742523
F160,Farmer_160,Central,57,Female,No,08065174259
F161,Farmer_161,Central,45,Male,No,08024650271
F162,Farmer_162,East,47,Male,No,
F163,Farmer_163,Central,27,Female,No,08066877183
F164,Farmer_164,West,42,Female,,08094574185
F165,Farmer_165,South,55,Female,,08011989173
F166,Farmer_166,South,27,Male,No,08042474983
F167,Farmer_167,Central,48,Female,Yes,08073967150
F168,Farmer_168,South,46,Female,Yes,08073981206
F169,Farmer_169,South,26,Male,Yes,08027882750
F170,Farmer_170,North,51,Male,No,08070303849
F171,Farmer_171,Central,26,Male,No,08053167705
F172,Farmer_172,West,41,Male,,08031130343
F173,Farmer_173,West,57,Female,No,08059913224
F174,Farmer_174,South,63,Male,,08063007836
F175,Farmer_175,North,50,Male,No,
F176,Farmer_176,South,49,Male,,08086294551
F177,Farmer_177,Central,37,Female,Yes,08092008891
F178,Farmer_178,Central,31,Male,Yes,08016512440
F179,Farmer_179,West,60,Male,No,08083208492
F180,Farmer_180,Central,44,Female,No,08046253447
F181,Farmer_181,Central,40,Female,,08093831437
F182,Farmer_182,West,36,Male,,08059895282
F183,Farmer_183,West,47,Female,No,08012503771
F184,Farmer_184,Noth,58,Female,,08010996161
F185,Farmer_185,West,56,Male,No,08077775190
F186,Farmer_186,West,46,Male,,08077227698
F187,Farmer_187,East,49,Male,No,08058939582
F188,Farmer_188,East,46,Female,,08081531065
F189,Farmer_189,North,46,Male,Yes,08011079600
F190,Farmer_190,South,30,Female,,08080612021
F191,Farmer_191,South,61,Male,Yes,08076009351
F192,Farmer_192,West,29,Female,No,08094890726
F193,Farmer_193,Central,28,Female,No,08097753580
F194,Farmer_194,North,56,Male,No,08010449395
F195,Farmer_195,West,54,Male,,08050308782
F196,Farmer_196,West,59,Female,Yes,08063386038
F197,Farmer_197,East,64,Female,No,08041530803
F198,Farmer_198,West,40,Male,No,08040503180
F199,Farmer_199,South,54,Female,No,08052165906
F200,Farmer_200,Noth,41,Male,No,08099473854
F201,Farmer_201,East,43,Female,,08016319707
F202,Farmer_202,South,50,Female,Yes,08088911293
F203,Farmer_203,Central,47,Male,No,08046396424
F204,Farmer_204,Central,36,Male,Yes,08021609076
F205,Farmer_205,West,25,Male,No,08083204793
F206,Farmer_206,South,25,Male,No,08030840174
F207,Farmer_207,West,58,Female,Yes,08087209213
F208,Farmer_208,West,49,Female,No,08026953831
F209,Farmer_209,West,25,Female,No,08084583311
F210,Farmer_210,East,63,Male,No,08013699391
F211,Farmer_211,North,29,Male,No,08087183765
F212,Farmer_212,South,53,Male,,08067338102
F213,Farmer_213,North,27,Male,Yes,08025192217
F214,Farmer_214,South,40,Male,,08020292658
F215,Farmer_215,South,61,Male,Yes,08071819576
F216,Farmer_216,West,53,Male,,08073362116
F217,Farmer_217,South,54,Female,,
F218,Farmer_218,East,29,Female,Yes,
F219,Farmer_219,Central,40,Male,Yes,08027541337
F220,Farmer_220,East,50,Male,,08030279846
F221,Farmer_221,North,60,Female,,08082807712
F222,Farmer_222,West,54,Female,,08082193785
F223,Farmer_223,South,34,Male,,08060018037
F224,Farmer_224,South,29,Male,,08060166883
F225,Farmer_225,East,58,Male,,08056787763
F226,Farmer_226,North,55,Female,,08075732489
F227,Farmer_227,West,43,Female,Yes,08023470137
F228,Farmer_228,Central,56,Female,Yes,08064717184
F229,Farmer_229,West,29,Female,Yes,08038709379
F230,Farmer_230,Noth,40,Female,,08044654999
F231,Farmer_231,West,40,Male,No,08084815222
F232,Farmer_232,South,26,Female,,08058978079
F233,Farmer_233,Central,51,Female,No,08094607827
F234,Farmer_234,West,48,Female,No,08099843595
F235,Farmer_235,South,59,Male,No,08088547323
F236,Farmer_236,West,57,Male,No,08099132960
F237,Farmer_237,Central,61,Female,No,08014035851
F238,Farmer_238,North,27,Female,No,08044045504
F239,Farmer_239,South,57,Female,Yes,08092396202
F240,Farmer_240,East,53,Female,No,08039469068
F241,Farmer_241,East,36,Female,,08040185054
F242,Farmer_242,North,26,Male,Yes,08043127676
F243,Farmer_243,South,59,Female,No,08047317456
F244,Farmer_244,Central,50,Male,,08037812615
F245,Farmer_245,West,53,Female,No,08014833177
F246,Farmer_246,North,34,Male,No,08018454561
F247,Farmer_247,South,31,Female,,08033151417
F248,Farmer_248,South,35,Female,,08020617244
F249,Farmer_249,Central,60,Female,No,
F250,Farmer_250,Central,45,Female,No,08013369720
F251,Farmer_251,Central,60,Female,No,08083963364
F252,Farmer_252,West,33,Female,No,08035856919
F253,Farmer_253,East,59,Male,Yes,08065395426
F254,Farmer_254,South,60,Female,Yes,08010070640
F255,Farmer_255,Central,63,Male,Yes,08087498463
F256,Farmer_256,South,48,Female,No,08072976036
F257,Farmer_257,Central,36,Female,Yes,08013741196
F258,Farmer_258,South,47,Female,Yes,08029511512
F259,Farmer_259,East,59,Male,No,08050260456
F260,Farmer_260,North,54,Male,No,08023217648
F261,Farmer_261,North,44,Male,,08069946863
F262,Farmer_262,East,49,Male,,08042425301
F263,Farmer_263,Noth,37,Male,Yes,08098146618
F264,Farmer_264,Central,43,Female,No,08070995760
F265,Farmer_265,West,60,Female,No,08056547339
F266,Farmer_266,South,43,Male,No,08057911176
F267,Farmer_267,West,31,Male,Yes,08092896667
F268,Farmer_268,Noth,38,Female,Yes,08098132318
F269,Farmer_269,Central,43,Male,Yes,08039365614
F270,Farmer_270,South,40,Female,Yes,08057010676
F271,Farmer_271,South,29,Male,,08061371106
F272,Farmer_272,West,36,Male,,08079426200
F273,Farmer_273,West,45,Female,No,08020198499
F274,Farmer_274,East,47,Female,No,08010197775
F275,Farmer_275,Central,63,Male,,08033614649
F276,Farmer_276,North,63,Male,,
F277,Farmer_277,Noth,29,Female,,08088535842
F278,Farmer_278,North,47,Male,Yes,08072989020
F279,Farmer_279,South,35,Male,Yes,08087273675
F280,Farmer_280,North,33,Female,No,08059437769
F281,Farmer_281,Central,41,Female,No,08041665404
F282,Farmer_282,North,62,Male,No,08095218477
F283,Farmer_283,East,37,Female,Yes,08026434343
F284,Farmer_284,South,33,Female,,08050201137
F285,Farmer_285,Central,51,Male,No,08090497273
F286,Farmer_286,North,26,Male,,08090954884
F287,Farmer_287,South,53,Female,Yes,08072182821
F288,Farmer_288,North,43,Male,Yes,08090768647
F289,Farmer_289,East,25,Female,No,08033020885
F290,Farmer_290,North,41,Female,,08051869822
F291,Farmer_291,East,31,Female,No,08084092760
F292,Farmer_292,Central,28,Female,No,
F293,Farmer_293,North,30,Male,No,08098825083
F294,Farmer_294,East,55,Female,Yes,08065478034
